res_id,name,cuisines,average_cost_for_two,currency,price_range,location,city,latitude,longitude,rating,votes,rating_text,rating_color,has_online_delivery,has_table_booking,is_delivering_now,country_id,locality,zipcode,photos_url,menu_url
17293301,Mama's Boy Restaurant,Southern,10,$,1,"197 Oak St, GA 30601",Athens,33.9535000000,-83.3654000000,4.5,849,Excellent,3F7E00,0,0,0,216,Athens,30601,https://www.zomato.com/athens-ga/mamas-boy-restaurant-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/mamas-boy-restaurant-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17293422,Transmetropolitan,"Italian, Pizza, Sandwich",10,$,1,"145 E Clayton St, Athens, GA 30601",Athens,33.9584000000,-83.3764000000,4.4,1098,Very Good,5BA829,0,0,0,216,Athens,30601,https://www.zomato.com/athens-ga/transmetropolitan-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/transmetropolitan-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17293229,Grit,"International, Southern, Vegetarian",10,$,1,"199 Prince Ave, Athens, GA 30601",Athens,33.9601120000,-83.3816250000,4.2,800,Very Good,5BA829,0,0,0,216,Athens,30601,https://www.zomato.com/athens-ga/grit-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/grit-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17293163,Choo Choo Eastside,"Japanese, Korean",10,$,1,"1055 Gaines School Rd Ste 100, Athens, GA 30605",Athens,33.9259000000,-83.3389000000,3.9,439,Good,9ACD32,0,0,0,216,Athens,30605,https://www.zomato.com/athens-ga/choo-choo-eastside-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/choo-choo-eastside-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17293205,Five & Ten,American,40,$,3,"1073 South Milledge Ave, Athens, GA 30605",Athens,33.9415545000,-83.3872482000,4.3,755,Very Good,5BA829,0,0,0,216,Athens,30605,https://www.zomato.com/athens-ga/five-ten-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/five-ten-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17293169,Clocked,"American, Burger, Sandwich",10,$,1,"259 W Washington St, Athens, GA 30601",Athens,33.9584000000,-83.3797000000,4.2,613,Very Good,5BA829,0,0,0,216,Athens,30601,https://www.zomato.com/athens-ga/clocked-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/clocked-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17293873,Trappeze Pub,"Burger, Bar Food",25,$,2,"269 N Hull St, Athens, GA 30601",Athens,33.9583630000,-83.3788810000,4.2,579,Very Good,5BA829,0,0,0,216,Athens,30601,https://www.zomato.com/athens-ga/trappeze-pub-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/trappeze-pub-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17293880,Big City Bread Cafe,"Breakfast, Sandwich",10,$,1,"393 N Finley St, Athens, GA 30601",Athens,33.9593920000,-83.3840040000,4.3,558,Very Good,5BA829,0,0,0,216,Athens,30601,https://www.zomato.com/athens-ga/big-city-bread-cafe-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/big-city-bread-cafe-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17293915,The Royal Peasant,Bar Food,10,$,1,"1675 S. Lumpkin St., Athens, GA 30606",Athens,33.9375020000,-83.3872800000,4.4,546,Very Good,5BA829,0,0,0,216,Athens,30606,https://www.zomato.com/athens-ga/the-royal-peasant-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/the-royal-peasant-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17293409,Sr. Sol 1,Mexican,10,$,1,"175 Tallassee Rd, Athens, GA 30606",Athens,33.9652000000,-83.4293000000,4.6,917,Excellent,3F7E00,0,0,0,216,Athens,30606,https://www.zomato.com/athens-ga/sr-sol-1-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/sr-sol-1-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17294014,Viva! Argentine Cuisine,"Desserts, Latin American, Argentine",10,$,1,"247 Prince Ave, Athens, GA 30601",Athens,33.9600227000,-83.3828224000,4.1,374,Very Good,5BA829,0,0,0,216,Athens,30601,https://www.zomato.com/athens-ga/viva-argentine-cuisine-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/viva-argentine-cuisine-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17293870,Shokitini,"Asian, Japanese, Sushi",25,$,2,"251 W Clayton St, Athens, GA 30601",Athens,33.9575030000,-83.3792510000,4.2,550,Very Good,5BA829,0,0,0,216,Athens,30601,https://www.zomato.com/athens-ga/shokitini-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/shokitini-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17293877,Taqueria Del Sol,"Mexican, Spanish",10,$,1,"334 Prince Ave, Athens, GA 30601",Athens,33.9605710000,-83.3836050000,4.1,543,Very Good,5BA829,0,0,0,216,Athens,30601,https://www.zomato.com/athens-ga/taqueria-del-sol-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/taqueria-del-sol-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17293186,DePalma's Italian Cafe - Downtown,"American, Italian, Pizza",25,$,2,"401 E Broad St, Athens, GA 30601",Athens,33.9581120000,-83.3735960000,4.0,353,Very Good,5BA829,0,0,0,216,Athens,30601,https://www.zomato.com/athens-ga/depalmas-italian-cafe-downtown-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/depalmas-italian-cafe-downtown-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17293890,The National,"International, Southern",40,$,3,"232 W. Hancock Ave., Athens, GA 30601",Athens,33.9594680000,-83.3796700000,4.1,465,Very Good,5BA829,0,0,0,216,Athens,30601,https://www.zomato.com/athens-ga/the-national-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/the-national-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17293180,DePalma's Italian Cafe - East Side,"American, Italian, Pizza",25,$,2,"1965 Barnett Shoals Rd, Athens, GA 30605",Athens,33.9242750000,-83.3399500000,4.1,387,Very Good,5BA829,0,0,0,216,Athens,30605,https://www.zomato.com/athens-ga/depalmas-italian-cafe-east-side-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/depalmas-italian-cafe-east-side-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17293228,The Grill,"Breakfast, Burger, Sandwich",10,$,1,"171 College Ave, Athens, GA 30601",Athens,33.9581980000,-83.3755230000,3.7,289,Good,9ACD32,0,0,0,216,Athens,30601,https://www.zomato.com/athens-ga/the-grill-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/the-grill-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17293273,La Dolce Vita Ristorante,Italian,40,$,3,"323 E Broad St, Athens, GA 30601",Athens,33.9584000000,-83.4075000000,4.1,464,Very Good,5BA829,0,0,0,216,Athens,30601,https://www.zomato.com/athens-ga/la-dolce-vita-ristorante-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/la-dolce-vita-ristorante-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17293897,Ike & Jane,Sandwich,10,$,1,"1307 Prince Ave, Athens, GA 30606",Athens,33.9632960000,-83.4008870000,4.1,350,Very Good,5BA829,0,0,0,216,Athens,30606,https://www.zomato.com/athens-ga/ike-jane-athens/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/athens-ga/ike-jane-athens/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17500819,Mandarin Chinese Restaurant,"Chinese, Thai",25,$,2,"3086 Riverside Dr, Macon, GA 31210",Macon,32.8899000000,-83.6766000000,4.5,302,Excellent,3F7E00,0,0,0,216,Macon,31210,https://www.zomato.com/macon-ga/mandarin-chinese-restaurant-macon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/macon-ga/mandarin-chinese-restaurant-macon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17501291,Emilio's Cuban Cafe,"Coffee and Tea, Cuban, Latin American",25,$,2,"402 Ga. Highway 247, Bonaire, GA 31005",Macon,32.5677410000,-83.5944940000,3.9,146,Good,9ACD32,0,0,0,216,Bonaire,31005,https://www.zomato.com/macon-ga/emilios-cuban-cafe-bonaire/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/macon-ga/emilios-cuban-cafe-bonaire/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17501301,Thai Pepper,"Japanese, Sushi, Thai",10,$,1,"1806 Russell Parkway, Warner Robins, GA 31088",Macon,32.5932640000,-83.6655570000,4.0,232,Very Good,5BA829,0,0,0,216,Warner Robins,31088,https://www.zomato.com/macon-ga/thai-pepper-warner-robins/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/macon-ga/thai-pepper-warner-robins/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17501439,Dovetail,,40,$,3,"543 Cherry St, Macon, GA 31201",Macon,32.8364100000,-83.6279790000,3.8,102,Good,9ACD32,0,0,0,216,Macon,31201,https://www.zomato.com/macon-ga/dovetail-macon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/macon-ga/dovetail-macon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17501315,Benson's Steak and Sushi,"American, Chinese, Sushi",25,$,2,"1289 S Houston Lake Rd, Warner Robins, GA 31088",Macon,32.5568730000,-83.6624210000,3.7,243,Good,9ACD32,0,0,0,216,Warner Robins,31088,https://www.zomato.com/macon-ga/bensons-steak-and-sushi-warner-robins/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/macon-ga/bensons-steak-and-sushi-warner-robins/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17500911,Rookery,"Burger, Desserts, Bar Food",25,$,2,"543 Cherry St, Macon, GA 31201",Macon,32.8361000000,-83.6279000000,4.5,289,Excellent,3F7E00,0,0,0,216,Macon,31201,https://www.zomato.com/macon-ga/rookery-macon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/macon-ga/rookery-macon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17500759,Ingleside Village Pizza,"Pizza, Sandwich",10,$,1,"2395 Ingleside Ave, Macon, GA 31204",Macon,32.8538960000,-83.6570610000,4.9,478,Excellent,3F7E00,0,0,0,216,Macon,31204,https://www.zomato.com/macon-ga/ingleside-village-pizza-macon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/macon-ga/ingleside-village-pizza-macon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17500767,Jim Shaw's Seafood Grill & Bar,Seafood,25,$,2,"3040 Vineville Ave, Macon, GA 31204",Macon,32.8496000000,-83.6737000000,4.6,467,Excellent,3F7E00,0,0,0,216,Macon,31204,https://www.zomato.com/macon-ga/jim-shaws-seafood-grill-bar-macon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/macon-ga/jim-shaws-seafood-grill-bar-macon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17501201,My Fathers Place,Italian,25,$,2,"2507 Moody Rd, Warner Robins, GA 31088",Macon,32.5786000000,-83.6240000000,3.7,104,Good,9ACD32,0,0,0,216,Warner Robins,31088,https://www.zomato.com/macon-ga/my-fathers-place-warner-robins/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/macon-ga/my-fathers-place-warner-robins/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17501281,The Mellow Mushroom,"Pizza, Sandwich, Vegetarian",25,$,2,"710 Lake Joy Road, Warner Robins, GA 31088",Macon,32.5526840000,-83.6910440000,3.8,323,Good,9ACD32,0,0,0,216,Warner Robins,31088,https://www.zomato.com/macon-ga/the-mellow-mushroom-warner-robins/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/macon-ga/the-mellow-mushroom-warner-robins/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17501308,Martin's BBQ,BBQ,25,$,2,"102 S Armed Forces Boulevard, Warner Robins, GA 31088",Macon,32.6193210000,-83.6002010000,4.2,288,Very Good,5BA829,0,0,0,216,Warner Robins,31088,https://www.zomato.com/macon-ga/martins-bbq-warner-robins/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/macon-ga/martins-bbq-warner-robins/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17500847,Natalia's,"European, Italian, Mediterranean",70,$,4,"201 North Macon St., Macon, GA 31210",Macon,32.9284950000,-83.7879930000,4.2,379,Very Good,5BA829,0,0,0,216,Macon,31210,https://www.zomato.com/macon-ga/natalias-macon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/macon-ga/natalias-macon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17500872,Papouli's Mediterranean Cafe & Market,"Greek, Mediterranean, Vegetarian",10,$,1,"121 Tom Hill Sr Blvd, Macon, GA 31210",Macon,32.9010000000,-83.6873000000,4.2,223,Very Good,5BA829,0,0,0,216,Macon,31210,https://www.zomato.com/macon-ga/papoulis-mediterranean-cafe-market-macon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/macon-ga/papoulis-mediterranean-cafe-market-macon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
