res_id,name,cuisines,average_cost_for_two,currency,price_range,location,city,latitude,longitude,rating,votes,rating_text,rating_color,has_online_delivery,has_table_booking,is_delivering_now,country_id,locality,zipcode,photos_url,menu_url
308322,Hauz Khas Social,"Continental, American, Asian, North Indian",1600,Rs.,3,"9-A & 12, Hauz Khas Village, New Delhi",New Delhi,28.5542851000,77.1944706000,4.3,7931,Very Good,5BA829,1,1,0,1,Hauz Khas Village,,https://www.zomato.com/HauzKhasSocial/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/HauzKhasSocial/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18037817,Qubitos - The Terrace Cafe,"Thai, European, Mexican, North Indian, Chinese, Cafe",1500,Rs.,3,"C-7, Vishal Enclave, Opposite Metro Pillar 417, Rajouri Garden, New Delhi",New Delhi,28.6471325000,77.1177015000,4.5,778,Excellent,3F7E00,0,1,0,1,Rajouri Garden,,https://www.zomato.com/ncr/qubitos-the-terrace-cafe-rajouri-garden-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/qubitos-the-terrace-cafe-rajouri-garden-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
312345,The Hudson Cafe,"Cafe, Italian, Continental, Chinese",850,Rs.,2,"2524, 1st Floor, Hudson Lane, Delhi University-GTB Nagar, New Delhi",New Delhi,28.6949468000,77.2043172000,4.4,1537,Very Good,5BA829,1,0,0,1,Delhi University-GTB Nagar,,https://www.zomato.com/ncr/the-hudson-cafe-delhi-university-gtb-nagar-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/the-hudson-cafe-delhi-university-gtb-nagar-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
307490,Summer House Cafe,"Italian, Continental",1850,Rs.,3,"1st Floor, DDA Shopping Complex, Aurobindo Place, Hauz Khas, New Delhi",New Delhi,28.5525204000,77.2038090000,4.1,1823,Very Good,5BA829,0,1,0,1,Hauz Khas,110016,https://www.zomato.com/ncr/summer-house-cafe-hauz-khas-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/summer-house-cafe-hauz-khas-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18241537,38 Barracks,"North Indian, Italian, Asian, American",1600,Rs.,3,"M-38, Outer Circle, Connaught Place, New Delhi",New Delhi,28.6330248887,77.2228584811,4.4,840,Very Good,5BA829,0,1,0,1,Connaught Place,,https://www.zomato.com/ncr/38-barracks-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/38-barracks-connaught-place-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18161577,Spezia Bistro,"Cafe, Continental, Chinese, Italian",900,Rs.,2,"2525, 1st Floor, Hudson Lane, Delhi University-GTB Nagar, New Delhi",New Delhi,28.6948390000,77.2041413000,4.6,1071,Excellent,3F7E00,1,1,0,1,Delhi University-GTB Nagar,,https://www.zomato.com/ncr/spezia-bistro-delhi-university-gtb-nagar-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/spezia-bistro-delhi-university-gtb-nagar-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
303960,Manhattan Brewery & Bar Exchange,"Finger Food, American, Continental, North Indian, Italian",2000,Rs.,4,"1st Floor, Global Foyer Mall, Sector 43, Golf Course Road, Gurgaon",Gurgaon,28.4602710000,77.0950273000,4.6,2093,Excellent,3F7E00,0,0,0,1,"Global Foyer Mall, Golf Course Road",,https://www.zomato.com/ncr/manhattan-brewery-bar-exchange-golf-course-road-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/manhattan-brewery-bar-exchange-golf-course-road-gurgaon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
306134,The Wine Company,"Italian, European",2000,Rs.,4,"Cyber Hub, DLF Cyber City, Gurgaon",Gurgaon,28.4962285000,77.0890476000,2.4,2412,Poor,FF7800,0,1,0,1,"Cyber Hub, DLF Cyber City",,https://www.zomato.com/ncr/the-wine-company-dlf-cyber-city-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/the-wine-company-dlf-cyber-city-gurgaon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18233593,Farzi Cafe,Modern Indian,2200,Rs.,4,"38/39, Level 1, Block E , Inner Circle, Connaught Place, New Delhi",New Delhi,28.6323984000,77.2214296000,4.4,1942,Very Good,5BA829,0,0,0,1,Connaught Place,,https://www.zomato.com/ncr/farzi-cafe-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/farzi-cafe-connaught-place-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
7528,Indian Grill Room,"North Indian, Mughlai",1800,Rs.,3,"315, 3rd Floor, Suncity Business Tower, Golf Course Road, Gurgaon",Gurgaon,28.4334574000,77.1052774000,4.5,1262,Excellent,3F7E00,1,1,0,1,"Suncity Business Tower, Golf Course Road",122002,https://www.zomato.com/ncr/indian-grill-room-golf-course-road-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/indian-grill-room-golf-course-road-gurgaon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18273624,Cafeteria & Co.,"Continental, Mexican",900,Rs.,2,"G 14, Hudson Lane, Vijay Nagar, New Delhi",New Delhi,28.6944707000,77.2043384000,4.6,1136,Excellent,3F7E00,0,0,0,1,Vijay Nagar,,https://www.zomato.com/ncr/cafeteria-co-vijay-nagar-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/cafeteria-co-vijay-nagar-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
308022,Farzi Cafe,Modern Indian,2200,Rs.,4,"7-8, Ground Floor, Cyber Hub, DLF Cyber City, Gurgaon",Gurgaon,28.4952079000,77.0886879000,4.3,4385,Very Good,5BA829,0,0,0,1,"Cyber Hub, DLF Cyber City",,https://www.zomato.com/ncr/farzi-cafe-dlf-cyber-city-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/farzi-cafe-dlf-cyber-city-gurgaon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18157413,Molecule Air Bar,"Continental, North Indian, Italian, Chinese",1500,Rs.,3,"4th Floor, SCO 53, Main Market, Sector 29, Gurgaon",Gurgaon,28.4679344000,77.0642265000,4.2,1809,Very Good,5BA829,0,1,0,1,Sector 29,,https://www.zomato.com/ncr/molecule-air-bar-sector-29-gurgaon/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/molecule-air-bar-sector-29-gurgaon/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18279449,HotMess,"North Indian, Mediterranean, Asian, Fast Food",1900,Rs.,3,"M-11, Middle Circle, Connaught Place, New Delhi",New Delhi,28.6326547000,77.2222380000,4.3,1129,Very Good,5BA829,1,1,0,1,Connaught Place,110001,https://www.zomato.com/ncr/hotmess-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/hotmess-connaught-place-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
311057,My Bar Headquarters,"North Indian, Mughlai, Chinese",1000,Rs.,3,"N-49, 2nd Floor, Connaught Place, New Delhi",New Delhi,28.6307210000,77.2198128000,3.7,3010,Good,9ACD32,0,0,0,1,Connaught Place,,https://www.zomato.com/ncr/my-bar-headquarters-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/my-bar-headquarters-connaught-place-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18235515,FLYP@MTV,"North Indian, Mexican, Italian, Continental",1200,Rs.,3,"N/57 & N/60, 1st Floor, Outer Circle, Connaught Place, New Delhi",New Delhi,28.6303331283,77.2207207605,3.9,1379,Good,9ACD32,0,1,0,1,Connaught Place,,https://www.zomato.com/ncr/flypmtv-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/flypmtv-connaught-place-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18238278,Tamasha,"Finger Food, North Indian, Continental, Italian",1600,Rs.,3,"28, Kasturba Gandhi Marg, Connaught Place, New Delhi",New Delhi,28.6296060000,77.2217440000,3.7,1801,Good,9ACD32,0,1,0,1,Connaught Place,110001,https://www.zomato.com/ncr/tamasha-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/tamasha-connaught-place-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
17977777,The Barbeque Company,"North Indian, Chinese, Continental",1200,Rs.,3,"HL 1-2, L Block, Jail Road, New Delhi",New Delhi,28.6255344000,77.1014229000,4.2,621,Very Good,5BA829,0,0,0,1,Jail Road,,https://www.zomato.com/ncr/the-barbeque-company-jail-road-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/the-barbeque-company-jail-road-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
900,Saravana Bhavan,South Indian,500,Rs.,2,"P-13, Connaught Circus, Connaught Place, New Delhi",New Delhi,28.6323578000,77.2163096000,4.3,5172,Very Good,5BA829,1,0,0,1,Connaught Place,0,https://www.zomato.com/ncr/saravana-bhavan-connaught-place-new-delhi/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/ncr/saravana-bhavan-connaught-place-new-delhi/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18246991,Odeon Social,"Continental, American, Asian, North Indian",1600,Rs.,3,"1st Floor, 23, Odeon Building, Radial 5, D Block, Connaught Place, New Delhi",New Delhi,28.6342487678,77.2209088504,4.1,1959,Very Good,5BA829,0,1,0,1,Connaught Place,,https://www.zomato.com/OdeonSocial/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/OdeonSocial/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18017612,Spice Kraft,"Continental, Middle Eastern, Asian",1200,Rs.,3,"54/1/2A, Hazra Road, Ballygunge Phari, Near Hazra Law College, Ballygunge, Kolkata",Kolkata,22.5264613000,88.3644527000,4.8,1424,Excellent,3F7E00,0,0,0,1,Ballygunge,,https://www.zomato.com/kolkata/spice-kraft-ballygunge/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/kolkata/spice-kraft-ballygunge/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18249144,Hoppipola,"Italian, Mexican, American, Mediterranean",1200,Rs.,3,"4th Floor, Acropolis Mall, 1858/1, Rajdanga Main Road, Kasba, Kolkata",Kolkata,22.5145853388,88.3933101967,4.2,1103,Very Good,5BA829,1,0,0,1,"Acropolis Mall, Kasba ",,https://www.zomato.com/kolkata/hoppipola-kasba/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/kolkata/hoppipola-kasba/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
25570,Barbeque Nation,"North Indian, Chinese",1600,Rs.,3,"24, 1st Floor, Park Center Building, Park Street Area, Kolkata",Kolkata,22.5510837417,88.3541271463,4.9,1753,Excellent,3F7E00,0,0,0,1,Park Street Area,,https://www.zomato.com/kolkata/barbeque-nation-park-street-area/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/kolkata/barbeque-nation-park-street-area/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
20404,Peter Cat,"Continental, North Indian",1000,Rs.,3,"18A, Park Street, Park Street Area, Kolkata",Kolkata,22.5526719000,88.3528850000,4.3,7574,Very Good,5BA829,1,0,0,1,Park Street Area,,https://www.zomato.com/kolkata/peter-cat-park-street-area/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/kolkata/peter-cat-park-street-area/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
20842,Barbeque Nation,"North Indian, Chinese",1600,Rs.,3,"K1, RDB Boulevard, Block EP & GP, Sector 5, Salt Lake",Kolkata,22.5693584266,88.4334521368,4.9,5966,Excellent,3F7E00,0,0,0,1,"Sector 5, Salt Lake",0,https://www.zomato.com/kolkata/barbeque-nation-sector-5-salt-lake/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/kolkata/barbeque-nation-sector-5-salt-lake/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
18017615,What's Up,"Cafe, Chinese, Continental",1000,Rs.,3,"122A, Southern Avenue, Kolkata",Kolkata,22.5141185869,88.3625043556,4.0,1126,Very Good,5BA829,0,1,0,1,Southern Avenue,,https://www.zomato.com/kolkata/whats-up-southern-avenue/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/kolkata/whats-up-southern-avenue/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
20002,6 Ballygunge Place,Bengali,1000,Rs.,3,"6, Ballygunge Place, Ballygunge, Kolkata",Kolkata,22.5278931461,88.3686281741,4.4,1778,Very Good,5BA829,1,1,0,1,Ballygunge,0,https://www.zomato.com/kolkata/6-ballygunge-place-ballygunge/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/kolkata/6-ballygunge-place-ballygunge/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
25587,TGI Friday's,"Tex-Mex, American",1800,Rs.,3,"Forum Mall, 10/3, Elgin Road, Elgin, Kolkata",Kolkata,22.5379599453,88.3498426527,4.0,911,Very Good,5BA829,1,1,0,1,Elgin,,https://www.zomato.com/kolkata/tgi-fridays-elgin/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/kolkata/tgi-fridays-elgin/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
24286,The Irish House,"European, American",1900,Rs.,3,"5th Floor, Quest Mall, 33, Syed Ali Amir Avenue, Ballygunge, Kolkata",Kolkata,22.5391289434,88.3655070886,4.4,2224,Very Good,5BA829,0,0,0,1,"Quest Mall, Ballygunge",,https://www.zomato.com/kolkata/the-irish-house-ballygunge/photos?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1#tabtop,https://www.zomato.com/kolkata/the-irish-house-ballygunge/menu?utm_source=api_basic_user&utm_medium=api&utm_campaign=v2.1&openSwipeBox=menu&showMinimal=1#tabtop
